variant,sensor,n_common,baseline_median,alternative_median,median_abs_change,p95_abs_change,max_abs_change,pearson
aggregate_components_midpoint_geometry,primary,52560,0.012271351996396687,0.00938669254513224,0.00026050741060193905,0.10615933488627427,0.5040762567693413,0.8395545701458564
aggregate_components_midpoint_geometry,secondary,52560,0.01046458673579152,0.0075744083645182085,0.00025960907695211964,0.10796339810013997,0.48870511299441743,0.8586090498697301
native_support_closure_then_aggregate,primary,52560,0.012271351996396687,0.008284969008632705,0.0015618577029250002,0.12388009112288063,0.9379971242373872,0.7930215893276381
native_support_closure_then_aggregate,secondary,52560,0.01046458673579152,0.006886536406567166,0.0015609061895740742,0.12388714796142611,0.8265575906426684,0.828679557218403
