variant,sensor,n_test,type1_alert_rate,center_alert_rate,lower_alert_rate,median_center_trust,median_width
baseline_locked,primary,7408,0.04927105831533477,0.048056155507559394,0.052915766738660906,0.8224896877805843,0.09241854721824848
baseline_locked,secondary,7408,0.04994600431965443,0.048191144708423325,0.052915766738660906,0.8245441336875885,0.09307940205348747
aggregate_components_midpoint_geometry,primary,7408,0.04832613390928726,0.04832613390928726,0.05480561555075594,0.8287066468793509,0.0847562777165978
aggregate_components_midpoint_geometry,secondary,7408,0.04873110151187905,0.047516198704103674,0.05534557235421166,0.8314922837577721,0.08544451875001752
native_support_closure_then_aggregate,primary,7408,0.0458963282937365,0.04967602591792657,0.0533207343412527,0.8464332995355837,0.08689937794595937
native_support_closure_then_aggregate,secondary,7408,0.04535637149028078,0.04778617710583153,0.04576133909287257,0.8487934174319616,0.08326707555661172
