model,sensor,n_test,type1_alert_rate,it2_center_alert_rate,it2_lower_alert_rate,median_center_trust,median_interval_width,center_lower_alert_disagreement
full_common_evidence,primary,7408,0.04927105831533477,0.048056155507559394,0.052915766738660906,0.8224896877805843,0.09241854721824848,0.06398488120950324
full_common_evidence,secondary,7408,0.04994600431965443,0.048191144708423325,0.052915766738660906,0.8245441336875885,0.09307940205348747,0.06492980561555076
pair_only_sensitivity,primary,7408,0.05210583153347732,0.05062095032397408,0.04778617710583153,0.8859531943953654,0.05529192539243401,0.052240820734341255
pair_only_sensitivity,secondary,7408,0.05210583153347732,0.05183585313174946,0.04724622030237581,0.886214128829028,0.05309182612803415,0.052915766738660906
